City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Luwuk,ID,2022-04-03 21:45:46,-0.9516,122.7875,77.77,87,100,2.19
68,Dingle,PH,2022-04-03 21:44:06,10.9995,122.6711,75.13,87,98,7.18
69,Sinnar,SD,2022-04-03 21:45:47,13.5691,33.5672,92.79,16,83,6.64
70,Salalah,OM,2022-04-03 21:41:46,17.0151,54.0924,78.89,89,0,3.44
71,Airai,TL,2022-04-03 21:38:27,-8.9266,125.4092,56.97,77,28,1.61
72,Ribeira Grande,PT,2022-04-03 21:43:15,38.5167,-28.7,60.46,78,49,10.07
73,Gizo,SB,2022-04-03 21:45:48,-8.103,156.8419,83.53,74,98,9.64
74,Divnomorskoye,RU,2022-04-03 21:45:49,44.5011,38.1353,47.41,89,77,9.26
75,Jamestown,US,2022-04-03 21:32:51,42.097,-79.2353,35.53,73,100,13.8
76,Cape Town,ZA,2022-04-03 21:32:39,-33.9258,18.4232,63.27,85,20,10.36
77,Itarema,BR,2022-04-03 21:37:05,-2.9248,-39.9167,77.47,89,29,9.44
78,Mataura,NZ,2022-04-03 21:34:40,-46.1927,168.8643,54.52,79,95,1.72
79,Puerto Colombia,CO,2022-04-03 21:45:51,10.9878,-74.9547,82.49,80,80,21.65
80,Kiruna,SE,2022-04-03 21:45:51,67.8557,20.2251,4.12,85,75,0.0
81,Bambous Virieux,MU,2022-04-03 21:38:34,-20.3428,57.7575,79.21,83,75,11.5
82,Tuktoyaktuk,CA,2022-04-03 21:36:58,69.4541,-133.0374,-18.4,76,20,4.61
83,Butaritari,KI,2022-04-03 21:41:53,3.0707,172.7902,81.46,70,86,14.74
84,Namibe,AO,2022-04-03 21:45:52,-15.1961,12.1522,70.95,79,100,6.87
85,Bosaso,SO,2022-04-03 21:45:53,11.2842,49.1816,82.74,43,41,11.1
86,Wenling,CN,2022-04-03 21:45:53,28.3669,121.36,46.04,79,7,6.29
87,Aklavik,CA,2022-04-03 21:45:53,68.2191,-135.0107,-5.12,85,100,11.43
88,Alofi,NU,2022-04-03 21:37:05,-19.0595,-169.9187,82.29,74,64,8.05
89,Pangoa,PE,2022-04-03 21:45:54,-12.1167,-73.0,78.8,70,61,2.91
90,Promyshlennaya,RU,2022-04-03 21:46:55,54.9159,85.6385,31.15,100,100,3.8
91,Ixtapa,MX,2022-04-03 21:46:55,20.7,-105.2,85.6,44,2,7.96
92,Palmer,US,2022-04-03 21:46:56,42.1584,-72.3287,46.49,73,100,1.01
93,Bengkulu,ID,2022-04-03 21:46:56,-3.8004,102.2655,75.96,84,96,4.81
94,Puro,PH,2022-04-03 21:46:57,12.4841,123.3827,78.51,82,25,12.44
95,Atuona,PF,2022-04-03 21:46:57,-9.8,-139.0333,79.88,72,52,21.45
96,Lapua,FI,2022-04-03 21:46:58,62.9693,23.0088,27.28,96,100,4.32
97,Vaini,TO,2022-04-03 21:34:43,-21.2,-175.2,75.36,94,75,5.75
98,Saskylakh,RU,2022-04-03 21:46:58,71.9167,114.0833,-6.7,98,100,10.65
99,Zhashkiv,UA,2022-04-03 21:46:59,49.2454,30.1102,32.58,81,100,13.4
100,Upernavik,GL,2022-04-03 21:46:59,72.7868,-56.1549,15.53,84,65,4.9
101,Port Alfred,ZA,2022-04-03 21:38:20,-33.5906,26.891,66.18,93,97,11.72
102,Majene,ID,2022-04-03 21:47:00,-3.5403,118.9707,76.89,85,66,3.83
103,Chuy,UY,2022-04-03 21:39:46,-33.6971,-53.4616,67.01,81,96,6.22
104,Dhidhdhoo,MV,2022-04-03 21:47:00,6.8833,73.1,83.03,71,6,4.47
105,Gazojak,TM,2022-04-03 21:47:01,41.1875,61.4036,65.77,23,0,11.77
106,Nagato,JP,2022-04-03 21:47:03,34.3833,131.2,39.2,76,0,10.29
107,Hithadhoo,MV,2022-04-03 21:43:31,-0.6,73.0833,82.74,70,32,5.48
108,Port Lincoln,AU,2022-04-03 21:37:07,-34.7333,135.8667,59.77,81,2,2.95
109,Grand-Lahou,CI,2022-04-03 21:47:03,5.1367,-5.0242,81.45,85,100,11.3
110,Putina,PE,2022-04-03 21:47:04,-15.4667,-69.4333,48.31,76,50,11.41
111,Tulum,MX,2022-04-03 21:45:25,20.2167,-87.4667,84.72,57,42,6.17
112,Kiama,AU,2022-04-03 21:47:05,-34.6833,150.8667,68.58,65,12,5.01
113,Kakching,IN,2022-04-03 21:47:05,24.4833,93.9833,63.18,94,42,1.01
114,Marsa Matruh,EG,2022-04-03 21:47:06,31.3525,27.2453,61.0,82,0,4.61
115,Preili,LV,2022-04-03 21:47:06,56.2944,26.7246,29.01,71,84,5.17
116,Laguna,US,2022-04-03 21:37:09,38.421,-121.4238,82.69,18,0,8.05
117,Lompoc,US,2022-04-03 21:45:06,34.6391,-120.4579,73.69,78,75,21.99
118,Progreso,MX,2022-04-03 21:47:07,21.2833,-89.6667,89.11,72,53,14.03
119,Cidreira,BR,2022-04-03 21:47:08,-30.1811,-50.2056,70.16,95,100,18.14
120,Gorontalo,ID,2022-04-03 21:47:08,0.5412,123.0595,74.84,94,88,1.99
121,Mount Gambier,AU,2022-04-03 21:45:26,-37.8333,140.7667,46.31,100,75,3.44
122,Karratha,AU,2022-04-03 21:38:36,-20.7377,116.8463,79.66,70,0,8.21
123,Castro,BR,2022-04-03 21:38:30,-24.7911,-50.0119,65.14,92,80,4.88
124,Turayf,SA,2022-04-03 21:47:09,31.6725,38.6637,68.25,22,0,13.8
125,Korla,CN,2022-04-03 21:47:10,41.7597,86.1469,55.89,23,0,4.97
126,Torbay,CA,2022-04-03 21:42:50,47.6666,-52.7314,38.57,80,40,32.21
127,New Norfolk,AU,2022-04-03 21:42:10,-42.7826,147.0587,56.7,89,97,1.7
128,Bayji,IQ,2022-04-03 21:47:11,34.9311,43.487,74.26,16,20,10.07
129,Novikovo,RU,2022-04-03 21:47:12,51.1537,37.8879,33.75,99,100,4.29
130,Bredasdorp,ZA,2022-04-03 21:45:35,-34.5322,20.0403,60.49,91,39,0.65
131,Vestmannaeyjar,IS,2022-04-03 21:37:17,63.4427,-20.2734,42.89,81,100,16.82
132,Mackenzie,CA,2022-04-03 21:47:12,55.2999,-123.1698,39.42,70,100,6.91
133,General Roca,AR,2022-04-03 21:47:13,-39.0333,-67.5833,63.86,18,54,16.51
134,Madaoua,NE,2022-04-03 21:47:14,14.073,5.96,83.44,6,12,4.52
135,Ponta Delgada,PT,2022-04-03 21:47:14,37.7333,-25.6667,57.92,72,20,5.75
136,Bethel,US,2022-04-03 21:47:19,41.3712,-73.414,42.94,89,100,3.44
137,Severo-Kurilsk,RU,2022-04-03 21:38:19,50.6789,156.125,33.3,87,23,11.81
138,Dalhousie,IN,2022-04-03 21:48:15,32.5333,75.9833,52.56,24,0,10.71
139,Bluff,NZ,2022-04-03 21:38:23,-46.6,168.3333,56.44,74,99,10.25
140,Campoverde,PE,2022-04-03 21:48:16,-8.4753,-74.8058,83.89,52,23,0.25
141,Batagay,RU,2022-04-03 21:48:17,67.6333,134.6333,-6.25,99,98,1.41
142,Hilo,US,2022-04-03 21:46:06,19.7297,-155.09,77.25,87,100,9.22
143,George,ZA,2022-04-03 21:48:17,-33.963,22.4617,58.55,94,0,4.61
144,Katsuura,JP,2022-04-03 21:48:18,35.1333,140.3,48.22,88,100,15.97
145,Buxton,GB,2022-04-03 21:44:53,53.2574,-1.9098,41.88,76,100,5.01
146,Derzhavinsk,KZ,2022-04-03 21:48:19,51.1,66.3167,38.57,75,98,11.32
147,Port Macquarie,AU,2022-04-03 21:46:30,-31.4333,152.9167,64.89,81,100,8.37
148,Rio Grande,BR,2022-04-03 21:48:19,-32.035,-52.0986,66.31,92,100,10.69
149,Urumqi,CN,2022-04-03 21:48:20,43.801,87.6005,50.95,37,0,8.95
150,Caloundra,AU,2022-04-03 21:48:21,-26.8,153.1333,73.85,92,41,4.0
151,Sorland,NO,2022-04-03 21:48:21,67.667,12.6934,35.1,73,41,12.68
152,Norman Wells,CA,2022-04-03 21:48:22,65.282,-126.8329,1.44,55,75,4.61
153,Kaitangata,NZ,2022-04-03 21:48:23,-46.2817,169.8464,55.31,75,93,4.99
154,Bushehr,IR,2022-04-03 21:48:23,28.9684,50.8385,62.69,63,0,0.0
155,Cabo San Lucas,MX,2022-04-03 21:48:09,22.8909,-109.9124,78.62,62,0,9.22
156,Quatre Cocos,MU,2022-04-03 21:40:37,-20.2078,57.7625,79.09,79,41,10.85
157,Thinadhoo,MV,2022-04-03 21:48:24,0.5333,72.9333,82.67,65,4,2.93
158,Clyde River,CA,2022-04-03 21:45:22,70.4692,-68.5914,10.63,85,0,8.05
159,Iqaluit,CA,2022-04-03 21:48:25,63.7506,-68.5145,26.33,86,40,14.97
160,San Carlos De Bariloche,AR,2022-04-03 21:48:26,-41.1456,-71.3082,46.15,61,40,27.63
161,Coihaique,CL,2022-04-03 21:48:26,-45.5752,-72.0662,51.75,62,75,5.75
162,Lavrentiya,RU,2022-04-03 21:43:24,65.5833,-171.0,-5.04,84,15,11.83
163,Bumba,CD,2022-04-03 21:48:27,2.1833,22.4667,72.82,81,37,1.86
164,Tilichiki,RU,2022-04-03 21:48:28,60.4667,166.1,14.7,79,98,6.08
165,Pacific Grove,US,2022-04-03 21:48:28,36.6177,-121.9166,69.39,74,40,12.66
166,Dalbandin,PK,2022-04-03 21:44:37,28.8947,64.4101,72.32,10,2,4.63
167,Anadyr,RU,2022-04-03 21:48:29,64.75,177.4833,-4.52,76,0,6.71
168,Tiksi,RU,2022-04-03 21:48:29,71.6872,128.8694,4.59,98,100,7.4
169,Tsumeb,NA,2022-04-03 21:48:30,-19.2333,17.7167,63.68,92,100,3.31
170,La Ronge,CA,2022-04-03 21:48:30,55.1001,-105.2842,46.62,39,20,6.91
171,Ambulu,ID,2022-04-03 21:48:31,-8.345,113.6058,74.08,91,8,3.24
172,Tessalit,ML,2022-04-03 21:48:13,20.1986,1.0114,88.27,9,0,4.18
173,Waitati,NZ,2022-04-03 21:48:31,-45.75,170.5667,57.79,70,93,1.12
174,Port Blair,IN,2022-04-03 21:48:32,11.6667,92.75,80.64,65,40,8.05
175,Nishihara,JP,2022-04-03 21:48:32,26.1842,127.7558,63.68,75,40,12.66
176,Haimen,CN,2022-04-03 21:48:33,23.1935,116.6142,49.89,56,0,17.87
177,Quang Ngai,VN,2022-04-03 21:48:33,15.1167,108.8,66.94,91,100,8.59
178,Grand Gaube,MU,2022-04-03 21:43:28,-20.0064,57.6608,79.38,82,24,3.0
179,Guerrero Negro,MX,2022-04-03 21:48:34,27.9769,-114.0611,65.68,53,16,16.89
180,Kruisfontein,ZA,2022-04-03 21:39:39,-34.0033,24.7314,59.88,81,94,5.44
181,Afua,BR,2022-04-03 21:49:35,-0.1567,-50.3867,76.69,92,99,5.41
182,Gimli,CA,2022-04-03 21:49:09,50.6336,-96.9907,32.02,74,99,3.44
183,Sao Gabriel Da Cachoeira,BR,2022-04-03 21:49:35,-0.1303,-67.0892,76.6,95,65,1.86
184,Baghdad,IQ,2022-04-03 21:48:51,33.3406,44.4009,67.91,26,66,2.3
185,Khatanga,RU,2022-04-03 21:49:36,71.9667,102.5,-32.35,100,99,3.31
186,San Luis,AR,2022-04-03 21:46:51,-33.295,-66.3356,59.18,30,0,15.9
187,Yarmouth,US,2022-04-03 21:49:36,41.7057,-70.2286,47.01,73,100,4.61
188,Kodiak,US,2022-04-03 21:49:37,57.79,-152.4072,36.91,81,100,9.22
189,Esperance,AU,2022-04-03 21:47:33,-33.8667,121.9,64.24,91,100,5.28
190,Sanok,PL,2022-04-03 21:49:38,49.5557,22.2056,28.06,100,77,3.76
191,Buchanan,LR,2022-04-03 21:49:38,5.8808,-10.0467,79.0,87,85,5.5
192,Kyshtovka,RU,2022-04-03 21:47:43,56.555,76.6271,33.66,99,100,8.05
193,Praia,CV,2022-04-03 21:49:39,14.9215,-23.5087,70.34,68,20,10.36
194,Victor Harbor,AU,2022-04-03 21:49:39,-35.5667,138.6167,57.83,85,22,1.99
195,Darnah,LY,2022-04-03 21:49:40,32.767,22.6367,60.3,76,0,5.68
196,Longyearbyen,SJ,2022-04-03 21:49:40,78.2186,15.6401,8.44,52,20,24.16
197,Makakilo City,US,2022-04-03 21:49:40,21.3469,-158.0858,79.2,52,75,25.32
198,Saint Anthony,US,2022-04-03 21:49:41,45.0205,-93.218,38.89,82,100,13.8
199,Albany,US,2022-04-03 21:47:24,42.6001,-73.9662,39.76,87,100,2.59
200,Sept-Iles,CA,2022-04-03 21:45:02,50.2001,-66.3821,43.32,33,20,12.66
201,Aden,YE,2022-04-03 21:45:13,12.7794,45.0367,81.9,63,6,9.93
202,Murindo,CO,2022-04-03 21:49:42,6.9848,-76.7544,78.6,92,99,2.62
203,Prince Rupert,CA,2022-04-03 21:46:57,54.3161,-130.3201,42.89,81,75,26.46
204,Yulara,AU,2022-04-03 21:49:42,-25.2406,130.9889,51.64,43,0,4.61
205,Fairbanks,US,2022-04-03 21:45:13,64.8378,-147.7164,27.25,57,0,5.75
206,Hofn,IS,2022-04-03 21:49:43,64.2539,-15.2082,35.69,85,100,19.95
207,Sokol,RU,2022-04-03 21:49:44,59.4617,40.1206,18.57,94,16,4.38
208,Christchurch,NZ,2022-04-03 21:47:02,-43.5333,172.6333,62.94,79,100,3.44
209,Bonavista,CA,2022-04-03 21:48:59,48.6499,-53.1147,35.87,88,99,15.48
210,Hamilton,US,2022-04-03 21:40:47,39.1834,-84.5333,58.75,44,40,4.61
211,Sfantu Gheorghe,RO,2022-04-03 21:49:45,45.8667,25.7833,32.94,93,100,11.21
212,Archidona,ES,2022-04-03 21:49:45,37.0965,-4.3887,48.67,83,100,4.03
213,Zyryanka,RU,2022-04-03 21:49:46,65.75,150.85,-7.87,96,72,1.97
214,Ouahigouya,BF,2022-04-03 21:49:46,13.5828,-2.4216,92.44,13,100,6.31
215,Daru,PG,2022-04-03 21:41:56,-9.0763,143.2092,81.19,78,26,5.64
216,Eyl,SO,2022-04-03 21:49:47,7.9803,49.8164,77.7,79,5,7.49
217,Bac Lieu,VN,2022-04-03 21:49:47,9.285,105.7244,78.82,81,99,17.25
218,Den Helder,NL,2022-04-03 21:46:47,52.9599,4.7593,44.58,72,40,17.0
219,Jiayuguan,CN,2022-04-03 21:49:48,39.8167,98.3,43.93,25,2,7.99
220,Saldanha,ZA,2022-04-03 21:47:29,-33.0117,17.9442,57.25,81,0,8.37
221,Sur,OM,2022-04-03 21:49:49,22.5667,59.5289,82.06,43,24,10.85
222,Galle,LK,2022-04-03 21:49:49,6.0367,80.217,78.69,82,76,1.92
223,Ridgecrest,US,2022-04-03 21:49:50,35.6225,-117.6709,80.46,15,0,8.05
224,Kanniyakumari,IN,2022-04-03 21:49:50,8.0833,77.5667,80.76,80,10,5.64
225,Antofagasta,CL,2022-04-03 21:46:03,-23.65,-70.4,63.68,74,14,7.99
226,Seymchan,RU,2022-04-03 21:49:51,62.8833,152.4333,-6.16,97,80,2.01
227,Ginda,IN,2022-04-03 21:49:52,30.6945,78.4932,53.98,21,5,9.13
228,Kieta,PG,2022-04-03 21:50:52,-6.2167,155.6333,82.38,76,78,2.46
229,Cayenne,GF,2022-04-03 21:37:17,4.9333,-52.3333,80.1,1,100,5.75
230,Colares,PT,2022-04-03 21:50:53,38.7992,-9.4469,55.08,55,48,20.0
231,Klaksvik,FO,2022-04-03 21:50:53,62.2266,-6.589,45.52,98,100,12.86
232,Mackay,AU,2022-04-03 21:47:26,-21.15,149.2,78.67,94,75,6.91
233,Sobolevo,RU,2022-04-03 21:50:54,54.4299,31.8996,22.44,90,99,6.04
234,Margate,GB,2022-04-03 21:43:32,51.3813,1.3862,39.69,65,78,3.0
235,Kouqian,CN,2022-04-03 21:50:54,43.6391,126.4578,46.67,43,0,17.96
236,Arlit,NE,2022-04-03 21:50:55,18.7369,7.3853,87.71,6,44,5.61
237,Nanortalik,GL,2022-04-03 21:50:55,60.1432,-45.2371,35.38,81,95,5.61
238,Lagoa,PT,2022-04-03 21:43:16,39.05,-27.9833,59.02,81,16,18.7
239,Portland,US,2022-04-03 21:47:37,45.5234,-122.6762,59.05,64,100,14.97
