City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Cape Town,ZA,-33.9258,18.4232,59.11,81,20,10.36,few clouds
80,Avarua,CK,-21.2078,-159.775,73.45,88,75,3.44,moderate rain
81,Clyde River,CA,70.4692,-68.5914,10.63,92,100,9.22,overcast clouds
82,Carahue,CL,-38.7,-73.1667,45.63,96,5,2.04,clear sky
83,Cidreira,BR,-30.1811,-50.2056,68.65,97,100,8.88,overcast clouds
84,Hilo,US,19.7297,-155.09,78.53,80,100,12.66,heavy intensity rain
85,Yellowknife,CA,62.456,-114.3525,24.42,64,40,13.8,scattered clouds
86,Saint-Philippe,RE,-21.3585,55.7679,72.99,86,97,13.78,overcast clouds
87,Erenhot,CN,43.6475,111.9767,52.32,18,87,16.62,overcast clouds
88,Gilbues,BR,-9.8317,-45.3439,76.3,55,84,2.68,broken clouds
89,Lavrentiya,RU,65.5833,-171.0,-2.07,82,6,11.14,clear sky
90,Vardo,NO,70.3705,31.1107,27.63,68,98,11.54,overcast clouds
91,Hualmay,PE,-11.0964,-77.6139,69.04,86,38,8.75,scattered clouds
92,Bluff,NZ,-46.6,168.3333,58.26,73,69,8.48,broken clouds
93,Esperance,AU,-33.8667,121.9,66.04,87,95,12.41,light rain
94,Saskylakh,RU,71.9167,114.0833,-3.03,96,100,11.63,overcast clouds
95,Akyab,MM,20.15,92.9,81.1,78,22,9.89,few clouds
96,Bredasdorp,ZA,-34.5322,20.0403,58.48,92,22,3.4,few clouds
97,Nuevo Ideal,MX,24.8875,-105.0728,62.38,24,3,9.48,clear sky
98,Husavik,IS,66.0449,-17.3389,25.7,91,100,7.7,light snow
99,Klaksvik,FO,62.2266,-6.589,41.92,99,100,23.17,overcast clouds
100,Traismauer,AT,48.3519,15.7635,33.84,88,45,5.17,scattered clouds
101,Yumen,CN,40.2833,97.2,54.63,18,0,12.88,clear sky
102,Tuktoyaktuk,CA,69.4541,-133.0374,-16.6,76,75,3.44,broken clouds
103,Airai,TL,-8.9266,125.4092,73.18,51,9,2.48,clear sky
104,Barrow,US,71.2906,-156.7887,-5.78,77,40,14.97,haze
105,Tatarsk,RU,55.219,75.9828,33.21,100,100,9.71,overcast clouds
106,Salinopolis,BR,-0.6136,-47.3561,78.08,88,100,8.23,moderate rain
107,Broome,US,42.2506,-75.833,36.19,79,100,9.22,light snow
108,Omsukchan,RU,62.5333,155.8,11.86,82,92,3.69,overcast clouds
109,Catuday,PH,16.2923,119.8062,82.62,60,100,7.23,overcast clouds
110,Elliot Lake,CA,46.3834,-82.6331,28.22,96,15,4.72,few clouds
111,Kualakapuas,ID,-3.0091,114.3876,84.25,78,40,2.13,scattered clouds
112,Lazo,RU,43.3817,133.9014,54.7,39,0,7.36,clear sky
113,Victoria,HK,22.2855,114.1577,70.03,42,0,8.99,clear sky
114,Araguaina,BR,-7.1911,-48.2072,74.86,90,93,2.46,overcast clouds
115,Faanui,PF,-16.4833,-151.75,82.22,69,9,11.56,clear sky
116,Dikson,RU,73.5069,80.5464,2.34,94,81,9.71,broken clouds
117,Thayetmyo,MM,19.3167,95.1833,85.64,52,8,8.84,clear sky
118,Barcelona,ES,41.3888,2.159,43.54,77,20,6.91,few clouds
119,Letlhakane,BW,-21.4167,25.5833,73.44,55,99,7.67,overcast clouds
120,Pedasi,PA,7.5333,-80.0333,78.06,78,100,6.11,overcast clouds
121,Charters Towers,AU,-20.1,146.2667,88.54,47,22,5.68,few clouds
122,Banjar,ID,-8.19,114.9675,86.72,61,37,1.03,scattered clouds
